YearMonth,High,Low,Open,Close
2013-04,147.21,134.03,139.22,141.77
2013-05,123.95,114.25,120.29,119.99
2013-06,111.3,104.6,108.86,107.76
2013-07,93.87,86.72,90.31,90.51
2013-08,116.0,111.39,113.04,113.91
2013-09,134.16,127.38,130.18,130.06
2013-10,161.94,151.15,156.03,158.31
2013-11,569.31,492.19,520.51,550.42
2013-12,856.44,739.99,813.12,800.78
2014-01,870.55,814.9,841.7,844.17
2014-02,690.56,632.39,670.84,661.62
2014-03,609.88,578.27,595.78,592.2
2014-04,476.67,444.64,461.65,461.36
2014-05,492.49,475.03,480.99,486.65
2014-06,627.15,603.71,615.22,615.92
2014-07,624.21,612.97,619.77,618.03
2014-08,546.54,527.42,539.69,536.09
2014-09,454.65,438.95,448.1,445.19
2014-10,374.31,354.86,365.75,364.15
2014-11,376.49,357.24,364.85,366.1
2014-12,347.49,336.57,343.07,341.27
2015-01,261.39,240.5,251.8,248.78
2015-02,240.21,227.77,232.82,234.15
2015-03,274.85,263.13,269.28,269.04
2015-04,238.96,231.73,235.71,235.49
2015-05,239.56,234.94,237.16,237.0
2015-06,240.13,235.03,236.94,238.08
2015-07,284.12,274.77,278.86,279.56
2015-08,256.42,247.15,252.99,250.73
2015-09,236.68,231.63,233.49,233.6
2015-10,267.74,260.49,262.31,264.86
2015-11,361.37,336.26,346.87,348.88
2015-12,431.57,413.46,422.62,424.46
2016-01,418.8,403.5,412.81,410.84
2016-02,408.42,398.19,402.3,404.41
2016-03,420.03,413.33,417.26,416.53
2016-04,436.75,430.64,433.49,434.34
2016-05,466.13,455.77,459.24,461.95
2016-06,657.88,619.87,638.54,642.87
2016-07,670.28,652.49,662.98,661.36
2016-08,586.17,574.55,581.24,579.59
2016-09,608.35,601.87,604.61,605.85
2016-10,646.45,638.0,640.7,643.55
2016-11,733.67,716.79,725.07,726.35
2016-12,832.51,814.08,821.11,828.06
2017-01,937.45,887.2,914.68,914.92
2017-02,1073.5,1040.42,1055.62,1062.53
2017-03,1161.89,1099.87,1133.21,1129.37
2017-04,1216.3,1188.38,1197.65,1206.64
2017-05,1968.79,1812.04,1865.75,1895.38
2017-06,2712.26,2538.01,2630.57,2636.2
2017-07,2604.0,2425.57,2509.21,2519.42
2017-08,3953.13,3719.48,3819.81,3880.99
2017-09,4214.38,3906.03,4077.4,4064.84
2017-10,5450.3,5176.27,5291.37,5360.07
2017-11,8084.06,7479.07,7685.75,7813.13
2017-12,16051.63,14195.59,15175.22,15294.27
2018-01,13705.43,12381.95,13212.07,13085.56
2018-02,9914.57,8948.85,9462.24,9472.0
2018-03,9373.21,8743.68,9156.59,9040.56
2018-04,8209.3,7787.21,7963.62,8033.6
2018-05,8638.82,8283.56,8505.24,8451.0
2018-06,6930.07,6670.76,6829.26,6793.51
2018-07,7258.95,6982.13,7101.47,7146.35
2018-08,6849.5,6580.56,6723.8,6700.13
2018-09,6709.13,6521.04,6622.82,6610.68
2018-10,6550.15,6443.75,6494.02,6485.12
2018-11,5561.6,5295.47,5481.62,5404.25
2018-12,3840.13,3623.74,3726.48,3717.49
2019-01,3755.83,3655.72,3709.71,3701.55
2019-02,3752.56,3659.89,3697.18,3711.91
2019-03,4008.78,3937.97,3967.74,3976.07
2019-04,5258.52,5074.58,5136.81,5178.47
2019-05,7466.77,7047.03,7205.21,7309.69
2019-06,9702.52,9058.6,9339.48,9415.9
2019-07,11025.67,10290.47,10691.71,10669.34
2019-08,10861.75,10385.93,10657.75,10643.25
2019-09,9973.39,9647.34,9858.14,9814.07
2019-10,8577.84,8249.08,8382.43,8411.93
2019-11,8542.32,8245.8,8427.1,8373.57
2019-12,7411.17,7175.22,7296.35,7284.01
2020-01,8490.32,8203.0,8318.95,8389.27
2020-02,9791.16,9473.44,9656.22,9630.72
2020-03,7182.89,6619.61,6943.51,6871.02
2020-04,7352.33,7045.44,7150.61,7224.48
2020-05,9451.19,9048.87,9237.76,9263.15
2020-06,9606.91,9342.36,9499.8,9489.23
2020-07,9672.63,9434.34,9519.38,9589.9
2020-08,11827.76,11453.38,11639.1,11652.39
2020-09,10844.91,10470.01,10689.7,10660.28
2020-10,12018.85,11648.08,11791.31,11886.98
2020-11,16945.98,16064.07,16450.12,16645.76
2020-12,22354.69,21229.36,21680.54,21983.14
2021-01,36206.56,32705.66,34652.96,34761.65
2021-02,47710.41,44197.38,45874.97,46306.8
2021-03,56250.98,52964.13,54544.68,54998.01
2021-04,58557.34,55604.27,57251.26,57206.72
2021-05,48775.04,44434.53,47105.83,46443.29
2021-06,37094.88,34375.8,35920.55,35845.15
2021-07,35024.21,33377.87,34352.24,34234.45
