Date,MSTR
2014-01-31,12.259142875671387
2014-02-28,12.799210598594264
2014-03-31,12.435380981082009
2014-04-30,11.044428598313104
2014-05-31,13.02638103848412
2014-06-30,14.210381008329845
2014-07-31,14.0928635597229
2014-08-31,13.917238053821382
2014-09-30,13.705999964759464
2014-10-31,14.668391227722168
2014-11-30,16.427315762168483
2014-12-31,16.45150019905784
2015-01-31,16.055099964141846
2015-02-28,17.644315920378034
2015-03-31,16.966409163041547
2015-04-30,17.3742858341762
2015-05-31,17.805399799346922
2015-06-30,17.63881813396107
2015-07-31,18.306590860540215
2015-08-31,21.034952617826917
2015-09-30,20.200237819126674
2015-10-31,19.41050000624223
2015-11-30,17.448399925231932
2015-12-31,17.626454440030184
2016-01-31,15.548105390448319
2016-02-29,15.76254997253418
2016-03-31,17.14586353302002
2016-04-30,18.516618910289946
2016-05-31,18.393952142624627
2016-06-30,18.334772543473676
2016-07-31,18.16090030670166
2016-08-31,16.650217470915422
2016-09-30,16.90423801967076
2016-10-31,17.362571353004093
2016-11-30,19.437238148280553
2016-12-31,19.932762055169967
2017-01-31,20.081099891662596
2017-02-28,19.24731575815301
2017-03-31,18.879000207652215
2017-04-30,18.675631774099248
2017-05-31,18.588681827891957
2017-06-30,18.456181786277078
2017-07-31,18.23404994010925
2017-08-31,12.905739245207414
2017-09-30,12.725400066375732
2017-10-31,13.449772748080166
2017-11-30,13.479285785130092
2017-12-31,13.337849998474121
2018-01-31,13.739857219514393
2018-02-28,13.498526372407612
2018-03-31,13.136999993097215
2018-04-30,12.95923814319429
2018-05-31,12.990636392073197
2018-06-30,13.129000027974447
2018-07-31,13.395285697210403
2018-08-31,14.155739203743313
2018-09-30,14.629578991940146
2018-10-31,12.805652079374894
2018-11-30,12.65547616141183
2018-12-31,12.50036846963983
2019-01-31,13.342523801894416
2019-02-28,13.791789506611071
2019-03-31,14.394285701570057
2019-04-30,14.788857323782784
2019-05-31,13.703363591974432
2019-06-30,13.870199871063232
2019-07-31,12.681045575575395
2019-08-31,13.862818197770553
2019-09-30,14.65169997215271
2019-10-31,14.541260802227518
2019-11-30,15.444999980926514
2019-12-31,14.737285659426735
2020-01-31,14.568190574645996
2020-02-29,14.758315789072137
2020-03-31,11.622181849046187
2020-04-30,12.29609525771368
2020-05-31,12.118699884414672
2020-06-30,12.09259102561257
2020-07-31,11.907681811939586
2020-08-31,13.781761986868721
2020-09-30,14.957952317737398
2020-10-31,16.48295441540805
2020-11-30,21.1873498916626
2020-12-31,32.18168206648393
2021-01-31,53.93363129465204
2021-02-28,87.49036849172492
2021-03-31,70.51582634967306
2021-04-30,68.55490475609189
2021-05-31,52.73264980316162
2021-06-30,56.01336375149813
2021-07-31,59.3558098929269
2021-08-31,70.36709126559171
2021-09-30,62.346285320463636
2021-10-31,70.93237976800827
2021-11-30,76.27023824055989
2021-12-31,59.7077142624628
