Date,TSLA
2014-01-31,10.936793690636044
2014-02-28,13.734877184817666
2014-03-31,15.543111029125395
2014-04-30,13.885841369628906
2014-05-31,13.311619168236142
2014-06-30,14.643904731387185
2014-07-31,14.883060672066428
2014-08-31,17.039174397786457
2014-09-30,17.6607300894601
2014-10-31,15.95878261068593
2014-11-30,16.438877256293047
2014-12-31,14.57742417942394
2015-01-31,13.550366592407226
2015-02-28,14.044877303274054
2015-03-31,12.981212095780807
2015-04-30,14.107428505307151
2015-05-31,16.148033142089844
2015-06-30,17.133454582907937
2015-07-31,17.773303031921387
2015-08-31,16.30336498078846
2015-09-30,16.860412416004
2015-10-31,14.798848498951305
2015-11-30,14.72546682357788
2015-12-31,15.344787901098078
2016-01-31,13.637473708704897
2016-02-29,11.311333227157593
2016-03-31,14.409818172454834
2016-04-30,16.7306033543178
2016-05-31,14.442254111880349
2016-06-30,14.322606130079789
2016-07-31,14.891933250427247
2016-08-31,14.91562320875085
2016-09-30,13.483746029081798
2016-10-31,13.44555545988537
2016-11-30,12.61050810132708
2016-12-31,13.370190484183174
2017-01-31,15.954700088500976
2017-02-28,17.580736862985713
2017-03-31,17.210434955099355
2017-04-30,20.3172281164872
2017-05-31,21.10160610892556
2017-06-30,24.38690913807262
2017-07-31,21.920333194732667
2017-08-31,23.391681007716965
2017-09-30,23.857133197784425
2017-10-31,22.97887880151922
2017-11-30,20.679460071382067
2017-12-31,21.522733211517334
2018-01-31,22.572222210112074
2018-02-28,22.385157936497738
2018-03-31,21.06555548168364
2018-04-30,19.318190347580682
2018-05-31,19.323485027660023
2018-06-30,22.37336494809105
2018-07-31,20.798317228044784
2018-08-31,22.08095650050951
2018-09-30,19.343192853425677
2018-10-31,18.999536431354024
2018-11-30,22.96634919302804
2018-12-31,22.940631464907998
2019-01-31,21.232952481224423
2019-02-28,20.515227970324066
2019-03-31,18.517142886207218
2019-04-30,17.777047566005162
2019-05-31,14.647697101939809
2019-06-30,14.247766637802124
2019-07-31,16.158818244934082
2019-08-31,15.006848508661443
2019-09-30,15.81743335723877
2019-10-31,17.756985581439473
2019-11-30,22.553333377838136
2019-12-31,25.179650897071475
2020-01-31,35.243936357044035
2020-02-29,53.163122277510794
2020-03-31,37.27342466874556
2020-04-30,44.2399050394694
2020-05-31,53.295033073425294
2020-06-30,64.2361516085538
2020-07-31,97.34272766113281
2020-08-31,120.01990472702752
2020-09-30,137.83174532935732
2020-10-31,142.40318090265447
2020-11-30,155.20416564941405
2020-12-31,212.93954467773438
2021-01-31,276.25894727204974
2021-02-28,264.7564906070107
2021-03-31,218.93420211128566
2021-04-30,236.53936476934524
2021-05-31,205.58433532714844
2021-06-30,208.97318337180397
2021-07-31,219.71158781505767
2021-08-31,235.08106162331322
2021-09-30,251.31746273949034
2021-10-31,292.78301711309524
2021-11-30,373.5541251046317
2021-12-31,339.028570265997
